case_id,device_family,vendor,model,source_url,source_basis,raw_features,out_of_scope_distractors,gold_capabilities,annotation_status
P06,Smart plug,SONOFF,S60ZBTPF,https://www.zigbee2mqtt.io/devices/S60ZBTPF.html,"Smart plug exposing controllable state, active power and cumulative/daily/monthly energy.",state; power; energy,current; voltage; energy_today; energy_yesterday; energy_month,power_control; power_sensing; energy_consumption_sensing,Audited v1.1 — Accepted
E01,Environmental sensor,Tuya,THS317-ET-TY,https://www.zigbee2mqtt.io/devices/THS317-ET-TY.html,Probe sensor exposing measured temperature and battery percentage.,temperature; battery,,temperature_sensing; battery_level_sensing,Audited v1.1 — Accepted
E02,Environmental sensor,SONOFF,SNZB-02D,https://www.zigbee2mqtt.io/devices/SNZB-02D.html,"Sensor exposing battery percentage, measured temperature and relative humidity.",temperature; humidity; battery,comfort_temperature_min; comfort_temperature_max; comfort_humidity_min; comfort_humidity_max,temperature_sensing; humidity_sensing; battery_level_sensing,Audited v1.1 — Accepted
E03,Environmental sensor,Aqara,WSDCGQ11LM,https://www.zigbee2mqtt.io/devices/WSDCGQ11LM.html,"Sensor exposing battery percentage, temperature and relative humidity; also atmospheric pressure and battery voltage.",temperature; humidity; battery,pressure; voltage,temperature_sensing; humidity_sensing; battery_level_sensing,Audited v1.1 — Accepted
E04,Environmental sensor,Tuya,TS0201,https://www.zigbee2mqtt.io/devices/TS0201.html,"Display sensor exposing battery, temperature, humidity and voltage.",temperature; humidity; battery,voltage,temperature_sensing; humidity_sensing; battery_level_sensing,Audited v1.1 — Accepted
E05,Environmental sensor,Xiaomi,LYWSD03MMC-z,https://www.zigbee2mqtt.io/devices/LYWSD03MMC-z.html,"Temperature/humidity sensor exposing measured temperature, humidity and battery information.",temperature; humidity; battery,voltage,temperature_sensing; humidity_sensing; battery_level_sensing,Audited v1.1 — Accepted
E06,Environmental sensor,Third Reality,3RTHS24BZ,https://www.zigbee2mqtt.io/devices/3RTHS24BZ.html,"Temperature/humidity sensor exposing temperature, relative humidity and battery percentage.",temperature; humidity; battery,,temperature_sensing; humidity_sensing; battery_level_sensing,Audited v1.1 — Accepted
M01,Motion/presence sensor,SONOFF,SNZB-03P,https://www.zigbee2mqtt.io/devices/SNZB-03P.html,PIR motion sensor; published occupancy signal is triggered by motion detection; battery level is exposed.,occupancy; battery,illuminance,motion_detection; battery_level_sensing,Audited v1.1 — Accepted (taxonomy-sensitive)
M02,Motion/presence sensor,Tuya,TS0202_1,https://www.zigbee2mqtt.io/devices/TS0202_1.html,Device is documented as a motion sensor while reporting a binary occupancy property and battery percentage.,occupancy; battery,battery_low; voltage,motion_detection; battery_level_sensing,Audited v1.1 — Accepted (taxonomy-sensitive)
M03,Motion/presence sensor,TP-Link,MS100,https://www.zigbee2mqtt.io/devices/MS100.html,Smart motion sensor using an occupancy-style binary report and exposing battery level.,occupancy; battery,,motion_detection; battery_level_sensing,Audited v1.1 — Accepted (taxonomy-sensitive)
M04,Motion/presence sensor,Third Reality,3RPS01083Z,https://www.zigbee2mqtt.io/devices/3RPS01083Z.html,Smart presence sensor exposing binary occupancy and battery percentage.,occupancy; battery,sensor_sensitivity; sensor_calibration,occupancy_detection; battery_level_sensing,Audited v1.1 — Accepted
M05,Motion/presence sensor,iHseno,TS0601_human_presence,https://www.zigbee2mqtt.io/devices/TS0601_human_presence.html,Human presence sensor exposing a presence boolean and battery percentage.,presence; battery,sensitivity; delay_time,occupancy_detection; battery_level_sensing,Audited v1.1 — Accepted
M06,Motion/presence sensor,Tuya,ZD24_Presence_Sensor,https://www.zigbee2mqtt.io/devices/ZD24_Presence_Sensor.html,Human-presence sensor exposing presence plus motion_state and battery.,presence; motion_state; battery,illuminance; distance; motion_detection_sensitivity; static_detection_sensitivity,occupancy_detection; motion_detection; battery_level_sensing,Audited v1.1 — Accepted
K01,Smart lock,easyiot,ZB-ZL01,https://www.zigbee2mqtt.io/devices/ZB-ZL01.html,"Smart door lock exposing lock status, unlock operations and battery level.",lock_status; unlock_door; battery,ephemeral_pin_code,lock_control; battery_level_sensing,Audited v1.1 — Accepted
K02,Smart lock,Schlage,BE468,https://www.zigbee2mqtt.io/devices/BE468.html,Smart lock exposing lock/unlock state/control and battery information.,state; lock; battery,pin_code,lock_control; battery_level_sensing,Audited v1.1 — Accepted
K03,Smart lock,Yale,LIA,https://www.zigbee2mqtt.io/devices/LIA.html,Door lock exposing lock state/control and battery.,state; lock; battery,pin_code,lock_control; battery_level_sensing,Audited v1.1 — Accepted
K04,Smart lock,Datek,0402946,https://www.zigbee2mqtt.io/devices/0402946.html,"Door lock exposing lock control/state, battery and a separate door_state with open/closed semantics.",lock; door_state; battery,pin_code,lock_control; door_state_sensing; battery_level_sensing,Audited v1.1 — Accepted
K05,Smart lock,ShinaSystem,DLM-300Z,https://www.zigbee2mqtt.io/devices/DLM-300Z.html,"Smart lock exposing lock operation/state, door_state and battery.",lock; door_state; battery,,lock_control; door_state_sensing; battery_level_sensing,Audited v1.1 — Accepted
K06,Smart lock,Heimgard Technologies,HT-SLM-3,https://www.zigbee2mqtt.io/devices/HT-SLM-3.html,Smart lock exposing lock/unlock state/control and battery.,lock; battery,,lock_control; battery_level_sensing,Audited v1.1 — Accepted
T01,Thermostat/HVAC,Hive,SLR1c,https://www.zigbee2mqtt.io/devices/SLR1c.html,"Heating controller exposing local temperature, occupied heating setpoint and system mode.",local_temperature; occupied_heating_setpoint; system_mode,,temperature_sensing; temperature_setpoint_control; hvac_mode_control,Audited v1.1 — Accepted
T02,Thermostat/HVAC,Sikom,300-9715V10,https://www.zigbee2mqtt.io/devices/300-9715V10.html,"Thermostat exposing local temperature, controllable heating setpoint, system mode, and an explicit writable ON/OFF state.",local_temperature; occupied_heating_setpoint; system_mode; state,,temperature_sensing; temperature_setpoint_control; hvac_mode_control; power_control,Audited v1.1 — Corrected
T03,Thermostat/HVAC,ShinaSystem,TCM-300Z,https://www.zigbee2mqtt.io/devices/TCM-300Z.html,"Thermostat exposing local temperature, heating/cooling setpoints and system mode.",local_temperature; occupied_heating_setpoint; occupied_cooling_setpoint; system_mode,,temperature_sensing; temperature_setpoint_control; hvac_mode_control,Audited v1.1 — Accepted
T04,Thermostat/HVAC,Zen,Zen-01-W,https://www.zigbee2mqtt.io/devices/Zen-01-W.html,"Thermostat exposing local temperature, heating/cooling setpoints, system mode and fan mode.",local_temperature; occupied_heating_setpoint; occupied_cooling_setpoint; system_mode; fan_mode,,temperature_sensing; temperature_setpoint_control; hvac_mode_control; fan_control,Audited v1.1 — Accepted
T05,Thermostat/HVAC,LUX,KN-Z-WH1-B04,https://www.zigbee2mqtt.io/devices/KN-Z-WH1-B04.html,"Thermostat exposing temperature, setpoint control, HVAC/system mode and fan mode.",local_temperature; occupied_heating_setpoint; system_mode; fan_mode,,temperature_sensing; temperature_setpoint_control; hvac_mode_control; fan_control,Audited v1.1 — Accepted
T06,Thermostat/HVAC,Salus Controls,FC600,https://www.zigbee2mqtt.io/devices/FC600.html,"Fan-coil thermostat exposing local temperature, occupied heating setpoint, system mode and fan mode.",local_temperature; occupied_heating_setpoint; system_mode; fan_mode,running_mode; running_state,temperature_sensing; temperature_setpoint_control; hvac_mode_control; fan_control,Audited v1.1 — Accepted
